time_ms,node_id,name,type,ecef_x,ecef_y,ecef_z,altitude_km,orbit_id,ip,norad_id,distance_km,radius_km
303000,SAT_53996,STARLINK-5131,SAT,-1749063.54,5895032.32,3161191.91,540.38,-1,10.0.3.191,53996,659.3,6914.02658460693
303000,SAT_59943,STARLINK-31973,SAT,-1542725.39,5967916.56,3004444.74,483.29,-1,10.0.3.18,59943,666.42,6857.311272779335
303000,SAT_57671,STARLINK-30296,SAT,-1164423.49,6019561.21,3054244.36,475.9,-1,10.0.3.41,57671,684.52,6849.774290850191
304000,SAT_62474,STARLINK-11502 [DTC],SAT,-1631317.79,5586920.99,3377626.19,356.55,-1,10.0.3.254,62474,412.07,6729.282469910665
304000,SAT_58748,STARLINK-31165,SAT,-1404610.83,5844439.54,3333128.38,500.06,-1,10.0.3.98,58748,511.12,6873.147017053406
304000,SAT_60445,STARLINK-32228,SAT,-1701471.59,5666321.01,3450794.96,476.41,-1,10.0.3.10,60445,542.79,6849.101051664075
304000,SAT_57931,STARLINK-30488,SAT,-1571460.89,5730441.98,3570736.75,559.92,-1,10.0.3.46,57931,582.48,6932.360027634635
304000,SAT_60935,STARLINK-11253 [DTC],SAT,-1152321.97,5890617.5,3052896.29,360.32,-1,10.0.3.245,60935,592.71,6734.04753557225
304000,SAT_64911,STARLINK-34718,SAT,-1467805.46,5940743.04,3077645.59,475.92,-1,10.0.3.141,64911,612.21,6849.728689032924
304000,SAT_64928,STARLINK-34248,SAT,-1834655.51,5595972.0,3497473.99,476.78,-1,10.0.3.158,64928,623.59,6849.320241884145
304000,SAT_53996,STARLINK-5131,SAT,-1754267.63,5896171.27,3156198.07,540.37,-1,10.0.3.191,53996,659.3,6914.034771384286
304000,SAT_59943,STARLINK-31973,SAT,-1547809.81,5964586.47,3008427.97,483.3,-1,10.0.3.18,59943,666.42,6857.30601743262
304000,SAT_57671,STARLINK-30296,SAT,-1169483.35,6021160.42,3049173.46,475.9,-1,10.0.3.41,57671,684.52,6849.782689872006
305000,SAT_62474,STARLINK-11502 [DTC],SAT,-1637738.31,5587195.73,3374071.75,356.55,-1,10.0.3.254,62474,412.07,6729.286966055167
305000,SAT_58748,STARLINK-31165,SAT,-1410852.86,5845024.12,3329475.52,500.05,-1,10.0.3.98,58748,511.12,6873.152114876494
305000,SAT_60445,STARLINK-32228,SAT,-1706928.71,5667576.44,3446050.89,476.4,-1,10.0.3.10,60445,542.79,6849.109070582475
305000,SAT_57931,STARLINK-30488,SAT,-1576744.23,5726872.29,3574123.78,559.92,-1,10.0.3.46,57931,582.48,6932.355255435892
305000,SAT_60935,STARLINK-11253 [DTC],SAT,-1156475.52,5887162.54,3057967.54,360.33,-1,10.0.3.245,60935,592.71,6734.039194750219
305000,SAT_64911,STARLINK-34718,SAT,-1471731.41,5937143.08,3082695.05,475.93,-1,10.0.3.141,64911,612.21,6849.720437132232
305000,SAT_64928,STARLINK-34248,SAT,-1838430.84,5591783.83,3502170.89,476.78,-1,10.0.3.158,64928,623.59,6849.312030976248
305000,SAT_53996,STARLINK-5131,SAT,-1759469.45,5897303.91,3151200.42,540.36,-1,10.0.3.191,53996,659.3,6914.042973499136
