time_ms,node_id,role,type,ecef_x,ecef_y,ecef_z,ip,heading_deg,battery_pct
800,UAV_05,CACHE,UAV,-1336243.2,5363774.6,3172331.6,10.0.0.6,241.8,99.9
900,GS_01,CLIENT,GS,-1337502.5,5364429.5,3170603.2,10.0.0.1,-1.0,-1
900,UAV_01,RELAY,UAV,-1337511.6,5364466.6,3170637.0,10.0.0.2,302.4,99.9
900,UAV_02,RELAY,UAV,-1337069.8,5365075.7,3169798.5,10.0.0.3,120.8,99.9
900,UAV_03,RELAY,UAV,-1338476.6,5363661.8,3171585.2,10.0.0.4,315.2,99.9
900,UAV_04,RELAY,UAV,-1339255.0,5364538.8,3169785.1,10.0.0.5,31.0,99.9
900,UAV_05,CACHE,UAV,-1336242.0,5363775.2,3172331.0,10.0.0.6,241.8,99.9
1000,GS_01,CLIENT,GS,-1337502.5,5364429.5,3170603.2,10.0.0.1,-1.0,-1
1000,UAV_01,RELAY,UAV,-1337510.3,5364466.6,3170637.6,10.0.0.2,293.6,99.9
1000,UAV_02,RELAY,UAV,-1337071.2,5365075.8,3169797.8,10.0.0.3,120.8,99.9
1000,UAV_03,RELAY,UAV,-1338475.5,5363661.6,3171586.1,10.0.0.4,315.2,99.9
1000,UAV_04,RELAY,UAV,-1339255.6,5364538.0,3169786.2,10.0.0.5,31.0,99.9
1000,UAV_05,CACHE,UAV,-1336240.8,5363775.9,3172330.4,10.0.0.6,241.8,99.9
1100,GS_01,CLIENT,GS,-1337502.5,5364429.5,3170603.2,10.0.0.1,-1.0,-1
1100,UAV_01,RELAY,UAV,-1337508.8,5364466.7,3170638.1,10.0.0.2,285.1,99.9
1100,UAV_02,RELAY,UAV,-1337072.5,5365075.8,3169797.2,10.0.0.3,120.8,99.9
1100,UAV_03,RELAY,UAV,-1338474.3,5363661.3,3171587.0,10.0.0.4,315.2,99.9
1100,UAV_04,RELAY,UAV,-1339256.1,5364537.2,3169787.4,10.0.0.5,31.0,99.9
1100,UAV_05,CACHE,UAV,-1336239.6,5363776.5,3172329.7,10.0.0.6,241.8,99.9
1200,GS_01,CLIENT,GS,-1337502.5,5364429.5,3170603.2,10.0.0.1,-1.0,-1
1200,UAV_01,RELAY,UAV,-1337507.4,5364466.9,3170638.3,10.0.0.2,276.7,99.9
1200,UAV_02,RELAY,UAV,-1337073.9,5365075.9,3169796.5,10.0.0.3,120.8,99.9
1200,UAV_03,RELAY,UAV,-1338473.2,5363661.0,3171588.0,10.0.0.4,315.2,99.9
1200,UAV_04,RELAY,UAV,-1339256.7,5364536.4,3169788.5,10.0.0.5,29.6,99.9
1200,UAV_05,CACHE,UAV,-1336238.4,5363777.2,3172329.1,10.0.0.6,241.8,99.9
1300,GS_01,CLIENT,GS,-1337502.5,5364429.5,3170603.2,10.0.0.1,-1.0,-1
1300,UAV_01,RELAY,UAV,-1337505.9,5364467.2,3170638.4,10.0.0.2,270.0,99.9
1300,UAV_02,RELAY,UAV,-1337075.2,5365076.0,3169795.8,10.0.0.3,120.8,99.9
1300,UAV_03,RELAY,UAV,-1338472.0,5363660.8,3171588.9,10.0.0.4,315.2,99.9
1300,UAV_04,RELAY,UAV,-1339257.3,5364535.6,3169789.6,10.0.0.5,29.6,99.9
1300,UAV_05,CACHE,UAV,-1336237.2,5363777.9,3172328.5,10.0.0.6,241.8,99.9
1400,GS_01,CLIENT,GS,-1337502.5,5364429.5,3170603.2,10.0.0.1,-1.0,-1
1400,UAV_01,RELAY,UAV,-1337504.5,5364467.6,3170638.3,10.0.0.2,263.5,99.9
1400,UAV_02,RELAY,UAV,-1337076.6,5365076.0,3169795.2,10.0.0.3,120.8,99.9
1400,UAV_03,RELAY,UAV,-1338470.8,5363660.5,3171589.8,10.0.0.4,315.2,99.9
1400,UAV_04,RELAY,UAV,-1339257.8,5364534.8,3169790.7,10.0.0.5,29.6,99.9
1400,UAV_05,CACHE,UAV,-1336236.0,5363778.5,3172327.9,10.0.0.6,241.8,99.9
1500,GS_01,CLIENT,GS,-1337502.5,5364429.5,3170603.2,10.0.0.1,-1.0,-1
1500,UAV_01,RELAY,UAV,-1337503.1,5364468.1,3170638.1,10.0.0.2,257.0,99.8
1500,UAV_02,RELAY,UAV,-1337077.9,5365076.1,3169794.5,10.0.0.3,120.8,99.8
1500,UAV_03,RELAY,UAV,-1338469.7,5363660.3,3171590.7,10.0.0.4,315.2,99.8
1500,UAV_04,RELAY,UAV,-1339258.4,5364534.0,3169791.9,10.0.0.5,29.6,99.8
1500,UAV_05,CACHE,UAV,-1336234.8,5363779.2,3172327.3,10.0.0.6,241.8,99.8
1600,GS_01,CLIENT,GS,-1337502.5,5364429.5,3170603.2,10.0.0.1,-1.0,-1
1600,UAV_01,RELAY,UAV,-1337501.7,5364468.7,3170637.7,10.0.0.2,250.6,99.8
1600,UAV_02,RELAY,UAV,-1337079.3,5365076.1,3169793.8,10.0.0.3,120.8,99.8
1600,UAV_03,RELAY,UAV,-1338468.5,5363660.0,3171591.7,10.0.0.4,315.2,99.8
1600,UAV_04,RELAY,UAV,-1339259.0,5364533.2,3169793.0,10.0.0.5,29.6,99.8
1600,UAV_05,CACHE,UAV,-1336233.6,5363779.9,3172326.7,10.0.0.6,241.8,99.8
1700,GS_01,CLIENT,GS,-1337502.5,5364429.5,3170603.2,10.0.0.1,-1.0,-1
1700,UAV_01,RELAY,UAV,-1337500.4,5364469.3,3170637.2,10.0.0.2,244.3,99.8
1700,UAV_02,RELAY,UAV,-1337080.6,5365076.2,3169793.2,10.0.0.3,120.8,99.8
1700,UAV_03,RELAY,UAV,-1338467.4,5363659.7,3171592.6,10.0.0.4,315.2,99.8
1700,UAV_04,RELAY,UAV,-1339259.5,5364532.4,3169794.1,10.0.0.5,29.6,99.8
1700,UAV_05,CACHE,UAV,-1336232.5,5363780.5,3172326.0,10.0.0.6,241.8,99.8
1800,GS_01,CLIENT,GS,-1337502.5,5364429.5,3170603.2,10.0.0.1,-1.0,-1
1800,UAV_01,RELAY,UAV,-1337499.3,5364470.0,3170636.5,10.0.0.2,238.0,99.8
1800,UAV_02,RELAY,UAV,-1337081.9,5365076.3,3169792.5,10.0.0.3,120.8,99.8
1800,UAV_03,RELAY,UAV,-1338466.2,5363659.5,3171593.5,10.0.0.4,315.2,99.8
1800,UAV_04,RELAY,UAV,-1339260.1,5364531.5,3169795.3,10.0.0.5,29.6,99.8
1800,UAV_05,CACHE,UAV,-1336231.3,5363781.2,3172325.4,10.0.0.6,241.8,99.8
1900,GS_01,CLIENT,GS,-1337502.5,5364429.5,3170603.2,10.0.0.1,-1.0,-1
1900,UAV_01,RELAY,UAV,-1337498.2,5364470.7,3170635.8,10.0.0.2,233.4,99.8
1900,UAV_02,RELAY,UAV,-1337083.3,5365076.3,3169791.8,10.0.0.3,120.8,99.8
1900,UAV_03,RELAY,UAV,-1338465.1,5363659.2,3171594.4,10.0.0.4,315.2,99.8
1900,UAV_04,RELAY,UAV,-1339260.6,5364530.7,3169796.4,10.0.0.5,29.6,99.8
1900,UAV_05,CACHE,UAV,-1336230.1,5363781.9,3172324.8,10.0.0.6,241.8,99.8
2000,GS_01,CLIENT,GS,-1337502.5,5364429.5,3170603.2,10.0.0.1,-1.0,-1
2000,UAV_01,RELAY,UAV,-1337497.2,5364471.4,3170635.0,10.0.0.2,227.2,99.8
2000,UAV_02,RELAY,UAV,-1337084.6,5365076.4,3169791.2,10.0.0.3,120.8,99.8
2000,UAV_03,RELAY,UAV,-1338463.9,5363658.9,3171595.3,10.0.0.4,315.2,99.8
2000,UAV_04,RELAY,UAV,-1339261.2,5364529.9,3169797.5,10.0.0.5,29.6,99.8
2000,UAV_05,CACHE,UAV,-1336228.9,5363782.5,3172324.2,10.0.0.6,241.8,99.8
2100,GS_01,CLIENT,GS,-1337502.5,5364429.5,3170603.2,10.0.0.1,-1.0,-1
2100,UAV_01,RELAY,UAV,-1337496.3,5364472.2,3170634.1,10.0.0.2,222.5,99.8
2100,UAV_02,RELAY,UAV,-1337086.0,5365076.4,3169790.5,10.0.0.3,120.8,99.8
2100,UAV_03,RELAY,UAV,-1338462.8,5363658.7,3171596.3,10.0.0.4,315.2,99.8
2100,UAV_04,RELAY,UAV,-1339261.8,5364529.1,3169798.6,10.0.0.5,29.6,99.8
2100,UAV_05,CACHE,UAV,-1336227.7,5363783.2,3172323.6,10.0.0.6,241.8,99.8
2200,GS_01,CLIENT,GS,-1337502.5,5364429.5,3170603.2,10.0.0.1,-1.0,-1
2200,UAV_01,RELAY,UAV,-1337495.5,5364473.0,3170633.1,10.0.0.2,217.9,99.8
2200,UAV_02,RELAY,UAV,-1337087.3,5365076.5,3169789.8,10.0.0.3,120.8,99.8
2200,UAV_03,RELAY,UAV,-1338461.6,5363658.4,3171597.2,10.0.0.4,315.2,99.8
2200,UAV_04,RELAY,UAV,-1339262.3,5364528.3,3169799.8,10.0.0.5,29.6,99.8
2200,UAV_05,CACHE,UAV,-1336226.5,5363783.9,3172323.0,10.0.0.6,241.8,99.8
2300,GS_01,CLIENT,GS,-1337502.5,5364429.5,3170603.2,10.0.0.1,-1.0,-1
2300,UAV_01,RELAY,UAV,-1337494.8,5364473.8,3170632.0,10.0.0.2,211.8,99.8
2300,UAV_02,RELAY,UAV,-1337088.7,5365076.6,3169789.2,10.0.0.3,120.8,99.8
2300,UAV_03,RELAY,UAV,-1338460.5,5363658.2,3171598.1,10.0.0.4,315.2,99.8
2300,UAV_04,RELAY,UAV,-1339262.9,5364527.5,3169800.9,10.0.0.5,29.6,99.8
2300,UAV_05,CACHE,UAV,-1336225.3,5363784.5,3172322.4,10.0.0.6,241.8,99.8
2400,GS_01,CLIENT,GS,-1337502.5,5364429.5,3170603.2,10.0.0.1,-1.0,-1
2400,UAV_01,RELAY,UAV,-1337494.2,5364474.6,3170630.9,10.0.0.2,207.3,99.8
2400,UAV_02,RELAY,UAV,-1337090.0,5365076.6,3169788.5,10.0.0.3,120.8,99.8
2400,UAV_03,RELAY,UAV,-1338459.3,5363657.9,3171599.0,10.0.0.4,315.2,99.8
2400,UAV_04,RELAY,UAV,-1339263.4,5364526.7,3169802.0,10.0.0.5,29.6,99.8
2400,UAV_05,CACHE,UAV,-1336224.1,5363785.2,3172321.7,10.0.0.6,241.8,99.8
2500,GS_01,CLIENT,GS,-1337502.5,5364429.5,3170603.2,10.0.0.1,-1.0,-1
2500,UAV_01,RELAY,UAV,-1337493.8,5364475.4,3170629.7,10.0.0.2,202.8,99.8
2500,UAV_02,RELAY,UAV,-1337091.3,5365076.7,3169787.8,10.0.0.3,120.8,99.8
2500,UAV_03,RELAY,UAV,-1338458.2,5363657.6,3171600.0,10.0.0.4,315.2,99.8
2500,UAV_04,RELAY,UAV,-1339264.0,5364525.9,3169803.2,10.0.0.5,29.6,99.8
2500,UAV_05,CACHE,UAV,-1336222.9,5363785.8,3172321.1,10.0.0.6,241.8,99.8
2600,GS_01,CLIENT,GS,-1337502.5,5364429.5,3170603.2,10.0.0.1,-1.0,-1
2600,UAV_01,RELAY,UAV,-1337493.4,5364476.2,3170628.5,10.0.0.2,198.2,99.7
2600,UAV_02,RELAY,UAV,-1337092.7,5365076.7,3169787.2,10.0.0.3,119.4,99.7
2600,UAV_03,RELAY,UAV,-1338457.0,5363657.4,3171600.9,10.0.0.4,315.2,99.7
2600,UAV_04,RELAY,UAV,-1339264.6,5364525.0,3169804.3,10.0.0.5,29.6,99.7
2600,UAV_05,CACHE,UAV,-1336221.7,5363786.5,3172320.5,10.0.0.6,240.4,99.7
2700,GS_01,CLIENT,GS,-1337502.5,5364429.5,3170603.2,10.0.0.1,-1.0,-1
2700,UAV_01,RELAY,UAV,-1337493.2,5364477.0,3170627.2,10.0.0.2,193.7,99.7
2700,UAV_02,RELAY,UAV,-1337094.1,5365076.8,3169786.6,10.0.0.3,119.4,99.7
2700,UAV_03,RELAY,UAV,-1338455.8,5363657.1,3171601.8,10.0.0.4,315.2,99.7
2700,UAV_04,RELAY,UAV,-1339265.1,5364524.2,3169805.4,10.0.0.5,29.6,99.7
2700,UAV_05,CACHE,UAV,-1336220.5,5363787.2,3172319.9,10.0.0.6,240.4,99.7
2800,GS_01,CLIENT,GS,-1337502.5,5364429.5,3170603.2,10.0.0.1,-1.0,-1
2800,UAV_01,RELAY,UAV,-1337493.1,5364477.8,3170626.0,10.0.0.2,189.3,99.7
2800,UAV_02,RELAY,UAV,-1337095.4,5365076.8,3169785.9,10.0.0.3,119.4,99.7
2800,UAV_03,RELAY,UAV,-1338454.7,5363656.9,3171602.7,10.0.0.4,315.2,99.7
2800,UAV_04,RELAY,UAV,-1339265.7,5364523.4,3169806.6,10.0.0.5,29.6,99.7
2800,UAV_05,CACHE,UAV,-1336219.3,5363787.9,3172319.2,10.0.0.6,240.4,99.7
2900,GS_01,CLIENT,GS,-1337502.5,5364429.5,3170603.2,10.0.0.1,-1.0,-1
2900,UAV_01,RELAY,UAV,-1337493.0,5364478.6,3170624.7,10.0.0.2,186.3,99.7
2900,UAV_02,RELAY,UAV,-1337096.8,5365076.9,3169785.3,10.0.0.3,119.4,99.7
2900,UAV_03,RELAY,UAV,-1338453.5,5363656.6,3171603.6,10.0.0.4,315.2,99.7
2900,UAV_04,RELAY,UAV,-1339266.3,5364522.6,3169807.7,10.0.0.5,29.6,99.7
2900,UAV_05,CACHE,UAV,-1336218.2,5363788.5,3172318.6,10.0.0.6,240.4,99.7
3000,GS_01,CLIENT,GS,-1337502.5,5364429.5,3170603.2,10.0.0.1,-1.0,-1
3000,UAV_01,RELAY,UAV,-1337493.1,5364479.3,3170623.4,10.0.0.2,181.8,99.7
3000,UAV_02,RELAY,UAV,-1337098.1,5365076.9,3169784.6,10.0.0.3,119.4,99.7
3000,UAV_03,RELAY,UAV,-1338452.4,5363656.3,3171604.6,10.0.0.4,315.2,99.7
3000,UAV_04,RELAY,UAV,-1339266.8,5364521.8,3169808.8,10.0.0.5,29.6,99.7
3000,UAV_05,CACHE,UAV,-1336217.0,5363789.2,3172317.9,10.0.0.6,240.4,99.7
3100,GS_01,CLIENT,GS,-1337502.5,5364429.5,3170603.2,10.0.0.1,-1.0,-1
3100,UAV_01,RELAY,UAV,-1337493.3,5364480.1,3170622.1,10.0.0.2,177.4,99.7
3100,UAV_02,RELAY,UAV,-1337099.5,5365076.9,3169784.0,10.0.0.3,119.4,99.7
3100,UAV_03,RELAY,UAV,-1338451.2,5363656.1,3171605.5,10.0.0.4,315.2,99.7
3100,UAV_04,RELAY,UAV,-1339267.4,5364521.0,3169809.9,10.0.0.5,29.6,99.7
3100,UAV_05,CACHE,UAV,-1336215.8,5363789.9,3172317.3,10.0.0.6,240.4,99.7
3200,GS_01,CLIENT,GS,-1337502.5,5364429.5,3170603.2,10.0.0.1,-1.0,-1
3200,UAV_01,RELAY,UAV,-1337493.6,5364480.8,3170620.8,10.0.0.2,172.9,99.7
3200,UAV_02,RELAY,UAV,-1337100.8,5365077.0,3169783.4,10.0.0.3,119.4,99.7
3200,UAV_03,RELAY,UAV,-1338450.1,5363655.8,3171606.4,10.0.0.4,315.2,99.7
3200,UAV_04,RELAY,UAV,-1339267.9,5364520.2,3169811.1,10.0.0.5,29.6,99.7
3200,UAV_05,CACHE,UAV,-1336214.6,5363790.6,3172316.7,10.0.0.6,240.4,99.7
3300,GS_01,CLIENT,GS,-1337502.5,5364429.5,3170603.2,10.0.0.1,-1.0,-1
3300,UAV_01,RELAY,UAV,-1337494.0,5364481.4,3170619.5,10.0.0.2,170.0,99.7
3300,UAV_02,RELAY,UAV,-1337102.2,5365077.0,3169782.7,10.0.0.3,119.4,99.7
3300,UAV_03,RELAY,UAV,-1338448.9,5363655.6,3171607.3,10.0.0.4,315.2,99.7
3300,UAV_04,RELAY,UAV,-1339268.5,5364519.4,3169812.2,10.0.0.5,29.6,99.7
3300,UAV_05,CACHE,UAV,-1336213.5,5363791.2,3172316.0,10.0.0.6,240.4,99.7
3400,GS_01,CLIENT,GS,-1337502.5,5364429.5,3170603.2,10.0.0.1,-1.0,-1
3400,UAV_01,RELAY,UAV,-1337494.5,5364482.1,3170618.2,10.0.0.2,165.6,99.7
3400,UAV_02,RELAY,UAV,-1337103.5,5365077.1,3169782.1,10.0.0.3,119.4,99.7
3400,UAV_03,RELAY,UAV,-1338447.8,5363655.3,3171608.3,10.0.0.4,313.9,99.7
3400,UAV_04,RELAY,UAV,-1339269.1,5364518.5,3169813.3,10.0.0.5,29.6,99.7
3400,UAV_05,CACHE,UAV,-1336212.3,5363791.9,3172315.4,10.0.0.6,240.4,99.7
3500,GS_01,CLIENT,GS,-1337502.5,5364429.5,3170603.2,10.0.0.1,-1.0,-1
3500,UAV_01,RELAY,UAV,-1337495.1,5364482.7,3170617.0,10.0.0.2,162.6,99.7
3500,UAV_02,RELAY,UAV,-1337104.9,5365077.1,3169781.5,10.0.0.3,119.4,99.7
3500,UAV_03,RELAY,UAV,-1338446.6,5363655.1,3171609.2,10.0.0.4,313.9,99.7
3500,UAV_04,RELAY,UAV,-1339269.6,5364517.7,3169814.5,10.0.0.5,29.6,99.7
3500,UAV_05,CACHE,UAV,-1336211.1,5363792.6,3172314.7,10.0.0.6,240.4,99.7
3600,GS_01,CLIENT,GS,-1337502.5,5364429.5,3170603.2,10.0.0.1,-1.0,-1
3600,UAV_01,RELAY,UAV,-1337495.7,5364483.2,3170615.8,10.0.0.2,158.2,99.6
3600,UAV_02,RELAY,UAV,-1337106.3,5365077.1,3169780.8,10.0.0.3,119.4,99.6
3600,UAV_03,RELAY,UAV,-1338445.4,5363654.8,3171610.1,10.0.0.4,313.9,99.6
3600,UAV_04,RELAY,UAV,-1339270.2,5364516.9,3169815.6,10.0.0.5,29.6,99.6
3600,UAV_05,CACHE,UAV,-1336209.9,5363793.3,3172314.1,10.0.0.6,240.4,99.6
3700,GS_01,CLIENT,GS,-1337502.5,5364429.5,3170603.2,10.0.0.1,-1.0,-1
3700,UAV_01,RELAY,UAV,-1337496.5,5364483.7,3170614.6,10.0.0.2,155.3,99.6
3700,UAV_02,RELAY,UAV,-1337107.6,5365077.2,3169780.2,10.0.0.3,119.4,99.6
3700,UAV_03,RELAY,UAV,-1338444.2,5363654.6,3171611.0,10.0.0.4,313.9,99.6
3700,UAV_04,RELAY,UAV,-1339270.7,5364516.1,3169816.7,10.0.0.5,29.6,99.6
3700,UAV_05,CACHE,UAV,-1336208.8,5363793.9,3172313.5,10.0.0.6,240.4,99.6
3800,GS_01,CLIENT,GS,-1337502.5,5364429.5,3170603.2,10.0.0.1,-1.0,-1
3800,UAV_01,RELAY,UAV,-1337497.3,5364484.2,3170613.4,10.0.0.2,150.9,99.6
3800,UAV_02,RELAY,UAV,-1337109.0,5365077.2,3169779.5,10.0.0.3,119.4,99.6
3800,UAV_03,RELAY,UAV,-1338443.1,5363654.3,3171611.9,10.0.0.4,313.9,99.6
3800,UAV_04,RELAY,UAV,-1339271.3,5364515.3,3169817.9,10.0.0.5,29.6,99.6
3800,UAV_05,CACHE,UAV,-1336207.6,5363794.6,3172312.8,10.0.0.6,240.4,99.6
3900,GS_01,CLIENT,GS,-1337502.5,5364429.5,3170603.2,10.0.0.1,-1.0,-1
3900,UAV_01,RELAY,UAV,-1337498.2,5364484.7,3170612.3,10.0.0.2,148.0,99.6
3900,UAV_02,RELAY,UAV,-1337110.3,5365077.3,3169778.9,10.0.0.3,119.4,99.6
3900,UAV_03,RELAY,UAV,-1338441.9,5363654.1,3171612.8,10.0.0.4,313.9,99.6
3900,UAV_04,RELAY,UAV,-1339271.9,5364514.5,3169819.0,10.0.0.5,29.6,99.6
3900,UAV_05,CACHE,UAV,-1336206.4,5363795.3,3172312.2,10.0.0.6,240.4,99.6
4000,GS_01,CLIENT,GS,-1337502.5,5364429.5,3170603.2,10.0.0.1,-1.0,-1
4000,UAV_01,RELAY,UAV,-1337499.2,5364485.1,3170611.2,10.0.0.2,143.6,99.6
4000,UAV_02,RELAY,UAV,-1337111.7,5365077.3,3169778.3,10.0.0.3,119.4,99.6
4000,UAV_03,RELAY,UAV,-1338440.7,5363653.8,3171613.7,10.0.0.4,313.9,99.6
4000,UAV_04,RELAY,UAV,-1339272.4,5364513.7,3169820.1,10.0.0.5,29.6,99.6
4000,UAV_05,CACHE,UAV,-1336205.2,5363796.0,3172311.5,10.0.0.6,240.4,99.6
4100,GS_01,CLIENT,GS,-1337502.5,5364429.5,3170603.2,10.0.0.1,-1.0,-1
4100,UAV_01,RELAY,UAV,-1337500.2,5364485.4,3170610.2,10.0.0.2,140.7,99.6
4100,UAV_02,RELAY,UAV,-1337113.0,5365077.3,3169777.6,10.0.0.3,119.4,99.6
4100,UAV_03,RELAY,UAV,-1338439.5,5363653.6,3171614.6,10.0.0.4,313.9,99.6
4100,UAV_04,RELAY,UAV,-1339273.0,5364512.9,3169821.2,10.0.0.5,29.6,99.6
4100,UAV_05,CACHE,UAV,-1336204.1,5363796.6,3172310.9,10.0.0.6,240.4,99.6
4200,GS_01,CLIENT,GS,-1337502.5,5364429.5,3170603.2,10.0.0.1,-1.0,-1
4200,UAV_01,RELAY,UAV,-1337501.3,5364485.7,3170609.2,10.0.0.2,137.8,99.6
4200,UAV_02,RELAY,UAV,-1337114.4,5365077.4,3169777.0,10.0.0.3,119.4,99.6
4200,UAV_03,RELAY,UAV,-1338438.4,5363653.4,3171615.5,10.0.0.4,313.9,99.6
4200,UAV_04,RELAY,UAV,-1339273.5,5364512.1,3169822.4,10.0.0.5,29.6,99.6
4200,UAV_05,CACHE,UAV,-1336202.9,5363797.3,3172310.2,10.0.0.6,240.4,99.6
4300,GS_01,CLIENT,GS,-1337502.5,5364429.5,3170603.2,10.0.0.1,-1.0,-1
4300,UAV_01,RELAY,UAV,-1337502.4,5364486.0,3170608.3,10.0.0.2,134.9,99.6
4300,UAV_02,RELAY,UAV,-1337115.8,5365077.4,3169776.4,10.0.0.3,119.4,99.6
4300,UAV_03,RELAY,UAV,-1338437.2,5363653.1,3171616.4,10.0.0.4,313.9,99.6
4300,UAV_04,RELAY,UAV,-1339274.1,5364511.2,3169823.5,10.0.0.5,28.2,99.6
4300,UAV_05,CACHE,UAV,-1336201.7,5363798.0,3172309.6,10.0.0.6,240.4,99.6
